tanggal_rilis,jam_rilis,judul_berita,link
13 May 2014,1899-12-31T08:12:59Z,"Soal Dana Hibah dan Bansos, Jokowi Ikut Imbauan KPK","https://beritajakarta.com/read/2179/Soal_Dana_Hibah_dan_Bansos,_Jokowi_Ikut_Imbauan_KPK"
13 May 2014,1899-12-31T08:26:56Z,Pembangunan Kantor Lurah Tunggu Lelang ULP,https://beritajakarta.com/read/2183/Pembangunan_Kantor_Lurah_Tunggu_Lelang_ULP
13 May 2014,1899-12-31T09:10:39Z,"Tak Berizin, Kelompok Bermain di Jakut Akan Dibubarkan","https://beritajakarta.com/read/2180/Tak_Berizin,_Kelompok_Bermain_di_Jakut_Akan_Dibubarkan"
13 May 2014,1899-12-31T09:37:04Z,Jokowi Minta Ulama Awasi Program DKI,https://beritajakarta.com/read/2181/Jokowi_Minta_Ulama_Awasi_Program_DKI
13 May 2014,1899-12-31T10:06:41Z,"Besok, Basuki Akan Koordinasi dengan Kemendagri","https://beritajakarta.com/read/2182/Besok,_Basuki_Akan_Koordinasi_dengan_Kemendagri"
14 May 2014,1899-12-31T09:37:28Z,Jokowi-Basuki Akan Bertemu Mendagri Pagi Ini,https://beritajakarta.com/read/2187/Jokowi-Basuki_Akan_Bertemu_Mendagri_Pagi_Ini
14 May 2014,1899-12-31T10:13:18Z,Kejari Tetapkan Tersangka Proyek Hutan Kota Ujung Menteng,https://beritajakarta.com/read/2186/Kejari_Tetapkan_Tersangka_Proyek_Hutan_Kota_Ujung_Menteng
14 May 2014,1899-12-31T10:53:33Z,Truk Trailer Angkut Mobil Tabrak Pembatas Jalan,https://beritajakarta.com/read/2188/Truk_Trailer_Angkut_Mobil_Tabrak_Pembatas_Jalan
14 May 2014,1899-12-31T11:20:02Z,"Truk Pengangkut Paku Bumi Terperosok, Lalin Macet 5 Km","https://beritajakarta.com/read/2189/Truk_Pengangkut_Paku_Bumi_Terperosok,_Lalin_Macet_5_Km"
14 May 2014,1899-12-31T11:48:25Z,Pengamanan Rumah Dinas Jokowi dan Balaikota Diperketat,https://beritajakarta.com/read/2191/Pengamanan_Rumah_Dinas_Jokowi_dan_Balaikota_Diperketat
14 May 2014,1899-12-31T01:54:15Z,"Guru Lecehkan Siswa, KB Saint Monica Ditutup","https://beritajakarta.com/read/2193/Guru_Lecehkan_Siswa,_KB_Saint_Monica_Ditutup"
14 May 2014,1899-12-31T03:32:33Z,Bakso Daging Celeng Kembali Ditemukan di Jakbar,https://beritajakarta.com/read/2197/Bakso_Daging_Celeng_Kembali_Ditemukan_di_Jakbar
14 May 2014,1899-12-31T03:54:39Z,"Lift RS Sulianti Macet, 4 Orang Terjebak","https://beritajakarta.com/read/2198/Lift_RS_Sulianti_Macet,_4_Orang_Terjebak"
14 May 2014,1899-12-31T04:50:43Z,DPRD DKI Didominasi Wajah Baru,https://beritajakarta.com/read/2201/DPRD_DKI_Didominasi_Wajah_Baru
14 May 2014,1899-12-31T04:56:14Z,65 Ekor Kucing Disterilisasi,https://beritajakarta.com/read/2199/65_Ekor_Kucing_Disterilisasi
14 May 2014,1899-12-31T05:32:21Z,"Cegah MERS, DKI Kerahkan Petugas Kesehatan di Bandara","https://beritajakarta.com/read/2202/Cegah_MERS,_DKI_Kerahkan_Petugas_Kesehatan_di_Bandara"
14 May 2014,1899-12-31T06:43:05Z,30 PKL di Jalan Abdullah Syafei Ditertibkan,https://beritajakarta.com/read/2205/30_PKL_di_Jalan_Abdullah_Syafei_Ditertibkan
14 May 2014,1899-12-31T07:03:44Z,Puskesmas Warakas Kewalahan Tangani Pasien,https://beritajakarta.com/read/2206/Puskesmas_Warakas_Kewalahan_Tangani_Pasien
14 May 2014,1899-12-31T07:25:02Z,"Tingkatkan Pertumbuhan Ekonomi, DKI Gandeng Kadin","https://beritajakarta.com/read/2203/Tingkatkan_Pertumbuhan_Ekonomi,_DKI_Gandeng_Kadin"
14 May 2014,1899-12-31T08:05:25Z,Basuki Akan Ambil Kebijakan Berkoordinasi Dengan Jokowi,https://beritajakarta.com/read/2195/Basuki_Akan_Ambil_Kebijakan_Berkoordinasi_Dengan_Jokowi
14 May 2014,1899-12-31T08:43:48Z,"Belum Ada Jaringan Internet, Pelayanan Dukcapil Terganggu","https://beritajakarta.com/read/2204/Belum_Ada_Jaringan_Internet,_Pelayanan_Dukcapil_Terganggu"
15 May 2014,1899-12-31T12:04:51Z,Basuki Sesalkan Iklan PT JM,https://beritajakarta.com/read/2208/Basuki_Sesalkan_Iklan_PT_JM
15 May 2014,1899-12-31T12:29:49Z,"Waisak, Umat Budha Doakan Pembangunan Jakarta","https://beritajakarta.com/read/2211/Waisak,_Umat_Budha_Doakan_Pembangunan_Jakarta"
15 May 2014,1899-12-31T01:07:39Z,Pengunjung Monas Diajak Bersihkan Sampah,https://beritajakarta.com/read/2214/Pengunjung_Monas_Diajak_Bersihkan_Sampah
15 May 2014,1899-12-31T01:39:46Z,4.000 Umat Budha Padati Vihara Dhammacakka,https://beritajakarta.com/read/2213/4.000_Umat_Budha_Padati_Vihara_Dhammacakka
15 May 2014,1899-12-31T02:04:51Z,Jalan Bojong Raya Mirip Kubangan Kerbau,https://beritajakarta.com/read/2216/Jalan_Bojong_Raya_Mirip_Kubangan_Kerbau
15 May 2014,1899-12-31T02:47:50Z,"Waisak, Basuki Tekankan Kebersihan Ibu Kota","https://beritajakarta.com/read/2217/Waisak,_Basuki_Tekankan_Kebersihan_Ibu_Kota"
15 May 2014,1899-12-31T03:06:55Z,2 Rumah di Kebon Jeruk Terbakar,https://beritajakarta.com/read/2218/2_Rumah_di_Kebon_Jeruk_Terbakar
15 May 2014,1899-12-31T03:36:46Z,Jokowi Akan Usut Rekening Pejabat PU,https://beritajakarta.com/read/2219/Jokowi_Akan_Usut_Rekening_Pejabat_PU
15 May 2014,1899-12-31T04:10:36Z,"Kegiatan JFFF, Sebagian Jalan di Kelapa Gading Dialihkan","https://beritajakarta.com/read/2221/Kegiatan_JFFF,_Sebagian_Jalan_di_Kelapa_Gading_Dialihkan"
15 May 2014,1899-12-31T04:28:52Z,Relokasi PKL Kebayoran Lama Terkatung-katung,https://beritajakarta.com/read/2212/Relokasi_PKL_Kebayoran_Lama_Terkatung-katung
15 May 2014,1899-12-31T05:04:39Z,Tugu Monas Akan Dibersihkan Setiap 10 Tahun,https://beritajakarta.com/read/2215/Tugu_Monas_Akan_Dibersihkan_Setiap_10_Tahun
15 May 2014,1899-12-31T06:25:41Z,"Cemari Lingkungan, Rumah Industri Batik Ditutup","https://beritajakarta.com/read/2220/Cemari_Lingkungan,_Rumah_Industri_Batik_Ditutup__"
15 May 2014,1899-12-31T07:09:26Z,DKI Akan Tingkatkan Kesejahteraan Petugas Kebersihan,https://beritajakarta.com/read/2222/DKI_Akan_Tingkatkan_Kesejahteraan_Petugas_Kebersihan
15 May 2014,1899-12-31T08:16:35Z,Ahok: Tidak Boleh Pakai Rekening Pribadi,https://beritajakarta.com/read/2225/Ahok:_Tidak_Boleh_Pakai_Rekening_Pribadi
